Nom de l'entreprise;SIREN;Chiffre d'affaires;Marge nette
EMPR 2000;440764348;1066407;1
W.L.F WIKI LEARN FORMATION;804192896;1156619;19
AVERION ASSURANCES;500512173;1009981;12
BOIS ET CHIFFONS CONCEPT;440552453;1197103;-11
QUAI RABELAIS;438662058;1399717;22
KAYA;810821520;1347945;13
WECOVI;834899858;1460636;-0
MYCHEZMOI LYON;815335989;1208292;9
ALP MAGASIN;823534565;1033307;5
NAUTIBOUTIQUE;882868284;1211863;1
ARAMI;328518444;1106098;5
SOCIETE D'EXPERTISE COMPTABLE DIARRA;309729796;1045303;15
LA PHOCEENNE DE DISTRIBUTION ET DE SERVICES;791329139;1099908;-14
BLACK ANGEL;917443707;1325460;111
C.K;823787114;1453431;7
KHAYYOUR;804790327;1270148;6
PROJECT TP;881281034;1127855;3
CE MONTGRAND;511277311;1198009;3
AXOCAR;333912715;1149586;2
CABINET AURIOL;307048611;1048674;20
SAS NINETY;909918500;1000430;2
GP TRANSPORT;853916807;1230985;3
LAUGIER-MATTE;794258038;1402937;-3
ASSISTANCE MARSEILLAISE;878788504;1067632;5
CHINA 138;753103308;1068760;3
SOC EXPL ETAB CORROT;316831262;1181094;5
MVP HOTEL;909391096;1288907;-63
HELIATEC TRAINING SERVICES;884564410;1044875;5
GIT'IMMO;413583964;1219019;12
SUD CREDITS;751181884;1312913;6
DOCTEUR PAIN;850480682;1143533;14
AU MOULIN DORE;498107051;1355199;4
EXPERTEA;497883785;1430272;-0
NEA PACA;827494097;1080870;0
CABINET THINOT;301985271;1475449;1
NECO EXPERTISE;880469580;1136917;12
SEPE LA PIECE DU ROI STE D'EXPLOITATION DU PARC EOLIEN LA PIECE DU ROI;494779671;1441871;31
PERFEO;481503787;1088210;-6
BOURBON EVOLUTION 802;752978981;1003246;-10
O.M.T. OFFICE MARITIME DE TRANSIT;749890307;1065647;4
ATPM SERVICES;433838018;1449469;-2
HOLDING GAUTIER;489651026;1467574;42
ANDERSON CONSULTING;494207327;1011298;4
LA MARSEILLAISE;847842861;1409047;2
GETACCEPT SAS;853205128;1242625;0
OREK CONSTRUCTION;890185135;1099828;11
MATANEL;440895654;1293648;49
MAURIENNE INVEST;833713274;1170763;-10
NAUTI SERVICES MARSEILLE;503617870;1237201;1
SELARL GOLDMANN;503108177;1348018;42
B V I;500016621;1390928;4
CHATEAU DE TOURREAU HOSPITALITY;909602146;1244236;12
MASCULA;921976858;1336406;-4
SARL SANTONI;413680513;1155677;15
ADAM EXPORT;895161511;1410905;5
L.D.F.S;384868303;1478342;1
G.G.;421160805;1013319;3
SOCIETE BON GOUT;793193426;1060063;11
DEPA' DENT;493557854;1038183;3
PRAD SECURITE;531251569;1162063;-2
OPALE;889116018;1223427;6
TRANSCAUSSE-DEMIMPEX;480785732;1211801;9
PHARMACIE GAGNAIRE;951130657;1268636;5
BS ENERGIES;888790979;1240660;3
E@SOCIETE D'EXPERTIS LES EXPERTS COMPT'ACTES;821342615;1062692;7
SNC 42-48 RUE SAINT FERREOL;820901239;1018677;-314
TERRANEA LES FALAISES;905142238;1414554;4
ECODAIR EA-PACA;814135000;1100666;-3
UN MONDE AILLEURS;518919717;1154584;16
LA FORBINE LYCEE TECHNIQUE PRIVE DE CHIMIE ET BIOLOGIE;753132737;1433200;27
BOWLINGSTAR MARSEILLE;813121852;1243625;5
META MORPHOZ;513655225;1033929;3
TCI BATIMENT;850946856;1023208;4
SOCIETE MERIDIONALE DE CHAUFFAGE ET DE CLIMATISATION SOMEDEC;434068599;1236358;10
KOMPETENTIA;524786001;1325720;9
LES JARDINS D ANAIS;493315998;1116128;5
SUD MENUISERIE;415160704;1442191;2
OVER LINE;431825470;1423905;24
HTSC ( HOTEL TERMINUS SAINT CHARLES);844251736;1198771;15
LA NOUVELLE TABLE DU BOULANGER;903217362;1138224;2
ACE FRANCE;808491138;1053422;1
GAVAUDAN D'AGOSTINO;911201440;1053220;2
AUDITEUR;343106613;1022095;16
IMEGA;833652787;1370727;12
AMARIX;451461222;1065852;5
MARSEILLE POSE;830759486;1125716;4
ACTINVEST;390596823;1071694;169
LA FOLIE DU BURGER;801451204;1074677;1
SIMIL;810862102;1432415;3
CHEZ ALDO;350880381;1271742;4
SEL NEUROCHIRURGIE VINCENTELLI;495309403;1438329;-30
SOEFAR;493977474;1264652;8
LE COUP D'OEIL OPTIQUE;484184726;1014732;8
FOCH-LOGE;812954642;1144980;-4
O'BRADY'S;407911734;1151872;2
COMPAGNIE HOTELIERE DE ST RAPHAEL FREJUS;494503238;1105137;26
MILCHAM;441617248;1216021;5
LA GENERALE INDUSTRIELLE;057803637;1495533;38
AREVA IMMOBILIER;484730460;1094875;1
AMBULANCES SEVAN;449820919;1344609;3
SQUARE HABITAT HAUTES ALPES;399600113;1445670;-35
INQUARTO ONLINE;538757600;1433436;54
TEEXAL;414117473;1242559;0
MERIT FRANCE INVESTISSEMENTS;901816462;1043742;-4622
ELSE CONSULTANTS;383916392;1329810;2
CAFE LUCIANI;065804502;1250477;13
LA VALENTINE;889178463;1478392;-10
PS GROUPE;981188923;1027970;4
SUD TECHNIQUES;439142944;1318132;2
ECO TRAVAUX;890751662;1015881;13
PROCLAIR RHONE ALPES;403183924;1261721;1
JF INVESTISSEMENT;431878834;1106169;-18
QUEEN MODE;833955974;1074874;0
CAP VERT ENERGIE CANTERRANE 1;528466840;1306780;20
HOTEL DU PHARO;443643663;1054785;23
MANDYBEN;491820270;1043043;7
CCL FINANCIERE;520038092;1185801;7
PHOCEA LOG;819316985;1313129;24
PHARMACIE DE L OPERA;507653350;1357587;5
SOS OXYGENE PHOCEA;883892812;1255876;-13
SOCIETE MARSEILLAISE DE TAXIMETRE ELECTRONIQUE SMTE;899852628;1037863;1
Résultats Trouvés;Non trouvé;Non disponible;Non disponible
MARSEDIS;804950053;1633458;-10
A3A EXPERTS;402308621;1795899;7
RESIDENCE JEANNE MARQUERITE;316025642;1696293;-0
SARL GRECH BERNABO FORMATION;479036295;1710119;11
TEMPOLOG66;817439276;1966054;5
ARTILOC;503261216;1951245;5
INFOCOM-EDITION;817676422;1532548;12
MANENTI & CO;479126898;1562376;8
HUITETDEMI;878026616;1558788;4
LES TOILES DU SUD;818368680;1626307;-8
FERME AVICOLE DES ESPILLIERES;410233001;1574418;3
HUMANA LODI;509199253;1603563;-2
LS PASTRE - LOISIRS SPORTIFS PASTRE;809336290;1868096;-8
SPOT IMPRIMERIE;324743673;1858368;2
SVBSM;854003225;1865308;10
SUNNEX EQUIPEMENT;302182951;1579893;-7
SM&S SMART MANAGEMENT & SERVICES;501730600;1527522;-2
PANTAI;897849972;1749195;-2
ELAG JARDIN;820340743;1898286;2
OMBLINE;388795437;1527957;4
GROUPE TRIUMSUD;480010552;1689967;22
CAMPING DE CEYRESTE;493956189;1749624;9
COULANGE IMMOBILIER;343048039;1752114;9
I M F S;442621652;1785601;7
E.G.B.T.I. SARL;753710854;1979821;0
